metadata,start_timestamp,lat,lon,count,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic,month_dt
Downsview Park and Lawn Bowling Greens,Aug-22,43.71931001,-79.51254444,4,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-08-01
E.T. Seton Park,Aug-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-08-01
Garrison Common,Aug-22,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-08-01
Grange Park,Aug-22,43.65261301,-79.39221132,1,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-08-01
High Park,Aug-22,43.64651218,-79.46393972,2,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-08-01
Kings Mill Park,Aug-22,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-08-01
Lakeshore Boulevard Parklands,Aug-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-08-01
Lavender Creek Trail,Aug-22,43.67434988,-79.47987059,5,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-08-01
Lower Don Parklands,Aug-22,43.69741478,-79.35386848,9,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-08-01
Martin Goodman Trail,Aug-22,43.6580416,-79.3314175,1,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-08-01
Morningside Park,Aug-22,43.78090037,-79.19730417,0,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-08-01
Nordheimer Ravine,Aug-22,43.68179447,-79.4101068,2,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-08-01
Riverdale Park East,Aug-22,43.67094057,-79.35433043,1,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-08-01
Rosedale Ravine Lands,Aug-22,43.67272549,-79.37625428,12,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-08-01
Scarborough Heights Park,Aug-22,43.69866061,-79.24908553,1,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-08-01
Severn Creek Park,Aug-22,43.67559997,-79.38645,0,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-08-01
Taylor Creek Park,Aug-22,43.69711646,-79.29741235,1,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-08-01
Trinity Square,Aug-22,43.65472242,-79.38160967,3,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-08-01
Warden Woods Park,Aug-22,43.6981562,-79.28484213,1,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-08-01
Wilket Creek Park,Aug-22,43.71724435,-79.35015227,1,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-08-01
Woodbine Park (New),Aug-22,43.66467932,-79.3134879,1,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-08-01
Allan Gardens,Sep-22,43.66093307,-79.3735941,30,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-09-01
Charles Sauriol Conservation Area,Sep-22,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-09-01
Cherry Beach Clarke Beach Park,Sep-22,43.63692099,-79.3443083,3,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-09-01
Clarence Square Park,Sep-22,43.64418139,-79.39371522,4,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-09-01
Downsview Park and Lawn Bowling Greens,Sep-22,43.71931001,-79.51254444,5,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-09-01
E.T. Seton Park,Sep-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-09-01
Garrison Common,Sep-22,43.63806493,-79.40717673,0,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-09-01
Grange Park,Sep-22,43.65261301,-79.39221132,1,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-09-01
High Park,Sep-22,43.64651218,-79.46393972,4,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-09-01
Kings Mill Park,Sep-22,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-09-01
Lakeshore Boulevard Parklands,Sep-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-09-01
Lavender Creek Trail,Sep-22,43.67434988,-79.47987059,4,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-09-01
Lower Don Parklands,Sep-22,43.69741478,-79.35386848,11,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-09-01
Martin Goodman Trail,Sep-22,43.6580416,-79.3314175,1,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-09-01
Morningside Park,Sep-22,43.78090037,-79.19730417,0,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-09-01
Nordheimer Ravine,Sep-22,43.68179447,-79.4101068,4,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-09-01
Riverdale Park East,Sep-22,43.67094057,-79.35433043,2,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-09-01
Rosedale Ravine Lands,Sep-22,43.67272549,-79.37625428,12,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-09-01
Scarborough Heights Park,Sep-22,43.69866061,-79.24908553,2,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-09-01
Severn Creek Park,Sep-22,43.67559997,-79.38645,0,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-09-01
Taylor Creek Park,Sep-22,43.69711646,-79.29741235,1,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-09-01
Trinity Square,Sep-22,43.65472242,-79.38160967,2,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-09-01
Warden Woods Park,Sep-22,43.6981562,-79.28484213,2,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-09-01
Wilket Creek Park,Sep-22,43.71724435,-79.35015227,1,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-09-01
Woodbine Park (New),Sep-22,43.66467932,-79.3134879,2,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-09-01
Allan Gardens,Oct-22,43.66093307,-79.3735941,45,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-10-01
Charles Sauriol Conservation Area,Oct-22,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-10-01
Cherry Beach Clarke Beach Park,Oct-22,43.63692099,-79.3443083,4,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-10-01
Clarence Square Park,Oct-22,43.64418139,-79.39371522,2,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-10-01
Downsview Park and Lawn Bowling Greens,Oct-22,43.71931001,-79.51254444,4,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-10-01
E.T. Seton Park,Oct-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-10-01
Garrison Common,Oct-22,43.63806493,-79.40717673,2,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-10-01
Grange Park,Oct-22,43.65261301,-79.39221132,0,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-10-01
High Park,Oct-22,43.64651218,-79.46393972,6,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-10-01
Kings Mill Park,Oct-22,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-10-01
Lakeshore Boulevard Parklands,Oct-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-10-01
Lavender Creek Trail,Oct-22,43.67434988,-79.47987059,0,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-10-01
Lower Don Parklands,Oct-22,43.69741478,-79.35386848,12,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-10-01
Martin Goodman Trail,Oct-22,43.6580416,-79.3314175,1,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-10-01
Morningside Park,Oct-22,43.78090037,-79.19730417,0,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-10-01
Nordheimer Ravine,Oct-22,43.68179447,-79.4101068,5,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-10-01
Riverdale Park East,Oct-22,43.67094057,-79.35433043,3,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-10-01
Rosedale Ravine Lands,Oct-22,43.67272549,-79.37625428,10,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-10-01
Scarborough Heights Park,Oct-22,43.69866061,-79.24908553,2,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-10-01
Severn Creek Park,Oct-22,43.67559997,-79.38645,1,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-10-01
Taylor Creek Park,Oct-22,43.69711646,-79.29741235,0,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-10-01
Trinity Square,Oct-22,43.65472242,-79.38160967,1,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-10-01
Warden Woods Park,Oct-22,43.6981562,-79.28484213,2,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-10-01
Wilket Creek Park,Oct-22,43.71724435,-79.35015227,1,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-10-01
Woodbine Park (New),Oct-22,43.66467932,-79.3134879,4,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-10-01
Allan Gardens,Nov-22,43.66093307,-79.3735941,42,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-11-01
Charles Sauriol Conservation Area,Nov-22,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-11-01
Cherry Beach Clarke Beach Park,Nov-22,43.63692099,-79.3443083,3,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-11-01
Clarence Square Park,Nov-22,43.64418139,-79.39371522,0,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-11-01
Downsview Park and Lawn Bowling Greens,Nov-22,43.71931001,-79.51254444,4,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-11-01
E.T. Seton Park,Nov-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-11-01
Garrison Common,Nov-22,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-11-01
Grange Park,Nov-22,43.65261301,-79.39221132,0,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-11-01
High Park,Nov-22,43.64651218,-79.46393972,4,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-11-01
Kings Mill Park,Nov-22,43.65135346,-79.49062927,1,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-11-01
Lakeshore Boulevard Parklands,Nov-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-11-01
Lavender Creek Trail,Nov-22,43.67434988,-79.47987059,0,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-11-01
Lower Don Parklands,Nov-22,43.69741478,-79.35386848,13,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-11-01
Martin Goodman Trail,Nov-22,43.6580416,-79.3314175,1,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-11-01
Morningside Park,Nov-22,43.78090037,-79.19730417,0,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-11-01
Nordheimer Ravine,Nov-22,43.68179447,-79.4101068,3,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-11-01
Riverdale Park East,Nov-22,43.67094057,-79.35433043,3,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-11-01
Rosedale Ravine Lands,Nov-22,43.67272549,-79.37625428,10,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-11-01
Scarborough Heights Park,Nov-22,43.69866061,-79.24908553,1,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-11-01
Severn Creek Park,Nov-22,43.67559997,-79.38645,3,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-11-01
Taylor Creek Park,Nov-22,43.69711646,-79.29741235,0,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-11-01
Trinity Square,Nov-22,43.65472242,-79.38160967,1,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-11-01
Warden Woods Park,Nov-22,43.6981562,-79.28484213,2,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-11-01
Wilket Creek Park,Nov-22,43.71724435,-79.35015227,1,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-11-01
Woodbine Park (New),Nov-22,43.66467932,-79.3134879,2,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-11-01
Allan Gardens,Dec-22,43.66093307,-79.3735941,32,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-12-01
Charles Sauriol Conservation Area,Dec-22,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-12-01
Cherry Beach Clarke Beach Park,Dec-22,43.63692099,-79.3443083,2,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-12-01
Clarence Square Park,Dec-22,43.64418139,-79.39371522,0,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-12-01
Downsview Park and Lawn Bowling Greens,Dec-22,43.71931001,-79.51254444,3,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-12-01
E.T. Seton Park,Dec-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-12-01
Garrison Common,Dec-22,43.63806493,-79.40717673,0,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-12-01
Grange Park,Dec-22,43.65261301,-79.39221132,0,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-12-01
High Park,Dec-22,43.64651218,-79.46393972,1,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-12-01
Kings Mill Park,Dec-22,43.65135346,-79.49062927,0,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-12-01
Lakeshore Boulevard Parklands,Dec-22,43.63395209,-79.43869438,0,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-12-01
Lavender Creek Trail,Dec-22,43.67434988,-79.47987059,0,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-12-01
Lower Don Parklands,Dec-22,43.69741478,-79.35386848,12,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-12-01
Martin Goodman Trail,Dec-22,43.6580416,-79.3314175,3,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-12-01
Morningside Park,Dec-22,43.78090037,-79.19730417,0,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-12-01
Nordheimer Ravine,Dec-22,43.68179447,-79.4101068,3,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-12-01
Riverdale Park East,Dec-22,43.67094057,-79.35433043,2,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-12-01
Rosedale Ravine Lands,Dec-22,43.67272549,-79.37625428,9,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-12-01
Scarborough Heights Park,Dec-22,43.69866061,-79.24908553,1,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-12-01
Severn Creek Park,Dec-22,43.67559997,-79.38645,2,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-12-01
Taylor Creek Park,Dec-22,43.69711646,-79.29741235,0,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-12-01
Trinity Square,Dec-22,43.65472242,-79.38160967,0,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-12-01
Warden Woods Park,Dec-22,43.6981562,-79.28484213,2,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-12-01
Wilket Creek Park,Dec-22,43.71724435,-79.35015227,1,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-12-01
Woodbine Park (New),Dec-22,43.66467932,-79.3134879,0,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-12-01
0 William Kitchen Road,Jan-23,43.77245734,-79.27908994,0,38,5,722,20,14,0,0,13,3,0,3,0,1,1,0,0,2,2,0,0,0,0,0,2023-01-01
10 Falstaff Avenue,Jan-23,43.71611118,-79.50666904,0,60,7,698,37,22,0,3,47,8,0,9,2,1,3,1,2,3,1,0,0,0,0,1,2023-01-01
705 Progress Avenue,Jan-23,43.77674605,-79.24639967,2,34,5,654,16,11,0,0,8,1,0,2,2,0,1,0,0,2,1,0,0,0,0,0,2023-01-01
Alexandra Park,Jan-23,43.65114655,-79.40510438,0,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2023-01-01
Allan Gardens,Jan-23,43.66093307,-79.3735941,28,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2023-01-01
Bellevue Square Park,Jan-23,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2023-01-01
Budapest Park,Jan-23,43.63702846,-79.44931095,0,130,11,673,61,19,4,37,92,9,9,5,9,5,7,6,5,4,11,2,0,0,0,0,2023-01-01
Charles Sauriol Conservation Area,Jan-23,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2023-01-01
Cherry Beach Clarke Beach Park,Jan-23,43.63692099,-79.3443083,2,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2023-01-01
Clarence Square Park,Jan-23,43.64418139,-79.39371522,0,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2023-01-01
Dufferin Grove Park,Jan-23,43.65699352,-79.4336308,0,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2023-01-01
E.T. Seton Park,Jan-23,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2023-01-01
Earl Bales Park,Jan-23,43.75411432,-79.43277026,1,44,4,694,26,14,0,2,42,1,0,8,2,0,0,1,1,10,2,1,0,0,0,0,2023-01-01
Garrison Common,Jan-23,43.63806493,-79.40717673,0,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2023-01-01
High Park,Jan-23,43.64651218,-79.46393972,1,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2023-01-01
Humber Arboretum,Jan-23,43.73183403,-79.62077596,2,23,3,285,14,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-01-01
Lamport Stadium Park,Jan-23,43.63977468,-79.42245532,0,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2023-01-01
Lower Don Parklands,Jan-23,43.69741478,-79.35386848,14,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2023-01-01
Marilyn Bell Park,Jan-23,43.63115941,-79.43083382,0,116,7,515,64,16,3,41,108,11,12,8,9,5,8,8,6,3,11,2,0,0,0,0,2023-01-01
Martin Goodman Trail,Jan-23,43.6580416,-79.3314175,2,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2023-01-01
Nordheimer Ravine,Jan-23,43.68179447,-79.4101068,3,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2023-01-01
Riverdale Park East,Jan-23,43.67094057,-79.35433043,3,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2023-01-01
Rosedale Ravine Lands,Jan-23,43.67272549,-79.37625428,7,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2023-01-01
Severn Creek Park,Jan-23,43.67559997,-79.38645,2,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2023-01-01
Trinity Square,Jan-23,43.65472242,-79.38160967,0,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2023-01-01
0 William Kitchen Road,Feb-23,43.77245734,-79.27908994,0,38,5,722,20,14,0,0,13,3,0,3,0,1,1,0,0,2,2,0,0,0,0,0,2023-02-01
10 Falstaff Avenue,Feb-23,43.71611118,-79.50666904,1,60,7,698,37,22,0,3,47,8,0,9,2,1,3,1,2,3,1,0,0,0,0,1,2023-02-01
705 Progress Avenue,Feb-23,43.77674605,-79.24639967,3,34,5,654,16,11,0,0,8,1,0,2,2,0,1,0,0,2,1,0,0,0,0,0,2023-02-01
Alexandra Park,Feb-23,43.65114655,-79.40510438,0,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2023-02-01
Allan Gardens,Feb-23,43.66093307,-79.3735941,31,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2023-02-01
Bellevue Square Park,Feb-23,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2023-02-01
Budapest Park,Feb-23,43.63702846,-79.44931095,1,130,11,673,61,19,4,37,92,9,9,5,9,5,7,6,5,4,11,2,0,0,0,0,2023-02-01
Charles Sauriol Conservation Area,Feb-23,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2023-02-01
Cherry Beach Clarke Beach Park,Feb-23,43.63692099,-79.3443083,1,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2023-02-01
Clarence Square Park,Feb-23,43.64418139,-79.39371522,0,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2023-02-01
Dufferin Grove Park,Feb-23,43.65699352,-79.4336308,0,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2023-02-01
E.T. Seton Park,Feb-23,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2023-02-01
Earl Bales Park,Feb-23,43.75411432,-79.43277026,1,44,4,694,26,14,0,2,42,1,0,8,2,0,0,1,1,10,2,1,0,0,0,0,2023-02-01
Garrison Common,Feb-23,43.63806493,-79.40717673,0,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2023-02-01
High Park,Feb-23,43.64651218,-79.46393972,2,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2023-02-01
Humber Arboretum,Feb-23,43.73183403,-79.62077596,2,23,3,285,14,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-02-01
