location,type,lat,lon
Birchmount Community Centre,Washroom Building,43.69548544,-79.26218068
Beaches Recreation Centre,Washroom Building,43.67398328,-79.29877839
Barbara Frum Community Centre,Washroom Building,43.72070076,-79.43215788
Banbury Community Centre,Washroom Building,43.74283989,-79.36951105
Armour Heights Community Centre,Washroom Building,43.73938607,-79.42184844
Antibes Community Centre,Washroom Building,43.78113838,-79.44699591
Ancaster Community Centre,Washroom Building,43.73254064,-79.46564176
Albion Pool and Health Club,Washroom Building,43.7392878,-79.58094897
Agincourt Recreation Centre,Washroom Building,43.78816029,-79.27597812
Adam Beck Community Centre,Washroom Building,43.68283754,-79.28882633
Earl Bales Ski and Snowboard Centre,Washroom Building,43.75256345,-79.43186017
Budapest Park,Washroom Building,43.63702114,-79.44929547
Mel Lastman Square,Washroom Building,43.76733477,-79.41434948
East Don Parkland,Washroom Building,43.77203894,-79.36582785
,,,
